Generated by mdgx executing fitting.mdgx.
MASS

BOND

ANGL

DIHE
c3-n3-c3-c3   1     0.11773  180.0  2.0  m14 GA AUE=0.4298 RMSE=0.5205 TorType=3, Fit by mdgx
c -c3-c3-c3   1    -2.40951    0.0  3.0  p15,p21 SS AUE=0.6594 RMSE=0.8092 TorType=3, Fit by mdgx
ho-oh-c -c3   1     6.93203  180.0  2.0  c12 SS AUE=0.3293 RMSE=0.3814 TorType=3, Fit by mdgx
c2-ce-n -c3   1     0.68869  180.0 -2.0  same as c3-nh-c2-c2, Fit by mdgx
c2-ce-n -c3   1    -0.80121  180.0  3.0  same as c3-nh-c2-c2, penalty score=570.0, Fit by mdgx
ce-ce-n -c3   1     1.94180  180.0 -2.0  same as c3-nh-c2-c2, Fit by mdgx
ce-ce-n -c3   1    -1.27185  180.0  3.0  same as c3-nh-c2-c2, penalty score=657.0, Fit by mdgx
c2-ce-n -c    1     2.42202  180.0 -2.0  same as c -n -c2-c2, Fit by mdgx
c2-ce-n -c    1    -2.51472  180.0  1.0  same as c -n -c2-c2, penalty score=237.0, Fit by mdgx
ce-ce-n -c    1    -0.44438  180.0 -2.0  same as c -n -c2-c2, Fit by mdgx
ce-ce-n -c    1    -4.57408  180.0  1.0  same as c -n -c2-c2, penalty score=324.0, Fit by mdgx
n -c3-cx-hc   1   -14.69891    0.0  3.0  same as X -c3-c3-X , penalty score= 92.0, Fit by mdgx
n -c3-cx-cx   1    21.50966    0.0  3.0  same as n -c3-c3-c3, penalty score=179.0, Fit by mdgx
h1-c3-cx-hc   1     7.42440    0.0  3.0  same as hc-c3-c3-hc, penalty score=179.0, Fit by mdgx
h1-c3-cx-cx   1    -9.38139    0.0  3.0  same as hc-c3-c3-c3, penalty score=266.0, Fit by mdgx
ca-ca-cc-c3   1     8.55226  180.0  2.0  same as ca-ca-ce-c3, penalty score=136.0, Fit by mdgx
ca-ca-cc-cd   1    27.94699  180.0  2.0  same as c2-ce-ca-ca, penalty score=223.0, Fit by mdgx

IMPROPER

NONBON
